biome_id	biome_name	object_file	resource_version	source_database	selection_criteria	pipeline_min_version	n_samples	n_taxa	tax_rank	selection_rank	assay_type	normalization	preprocessing_notes	genome_resource_set	default_top_n	default_core_prevalence	default_core_abundance	notes
blood	blood	blood.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	226	1530	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
buccal_mucosa	buccal_mucosa	buccal_mucosa.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	287	1826	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
dairy	dairy	dairy.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	862	3179	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
drinking_water	drinking_water	drinking_water.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	158	3343	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
fermented_beverages	fermented_beverages	fermented_beverages.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	120	3025	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
fermented_vegetables	fermented_vegetables	fermented_vegetables.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	289	1169	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
forest_soil	forest_soil	forest_soil.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	1368	8262	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
hydrothermal_vents	hydrothermal_vents	hydrothermal_vents.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	113	3887	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
nasal_cavity	nasal_cavity	nasal_cavity.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	1603	3016	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
pharynx	pharynx	pharynx.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	526	2068	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
saliva	saliva	saliva.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	4881	4364	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
sediment	sediment	sediment.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	2420	12958	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
skin	skin	skin.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	5920	12932	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
soil	soil	soil.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	3445	6539	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
supragingival_plaque	supragingival_plaque	supragingival_plaque.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	487	2502	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
thermal_springs	thermal_springs	thermal_springs.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	663	3223	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
throat	throat	throat.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	660	1320	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
tongue_dorsum	tongue_dorsum	tongue_dorsum.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	473	1695	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
trachea	trachea	trachea.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	238	1300	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA
vagina	vagina	vagina.rds	0.1.0	MGnify	selected from 492 MGnify biomes; MGnify amplicon pipeline version >=4; initial n_samples >=100	4	4524	3438	OTU	Genus	amplicon_16S	counts	taxonomy harmonized (none/blank → NA; whitespace trimmed); taxa lacking phylum removed; non-bacterial or technical taxa excluded using organelle keyword filtering, bacterial phylum whitelist, and selected genus exclusions; samples with <1000 reads removed; biomes retained only if >=50 samples remained after filtering; no normalization applied	top100_genus_catalog_v0.1	50	0.5	0.01	NA